,New_Index,WordCt,SentCt,IsArg,ArgTyp,IsCoref,EnvtTyp2,CoEnvt,EnvtCt
0,X_GTT_layer_0_bert-uncased_epoch18_muc1700,0.585,0.39,0.821917808219178,0.7909698996655519,0.6910074374577417,0.5395799676898223,0.5830592105263158,0.6
1,X_GTT_layer_1_bert-uncased_epoch18_muc1700,0.555,0.415,0.8653960690887433,0.822742474916388,0.6774847870182555,0.592891760904685,0.5978618421052632,0.635
2,X_GTT_layer_2_bert-uncased_epoch18_muc1700,0.575,0.42,0.8725431804645623,0.8486622073578596,0.6781609195402298,0.630048465266559,0.5797697368421053,0.655
3,X_GTT_layer_3_bert-uncased_epoch18_muc1700,0.56,0.425,0.8737343656938654,0.8503344481605352,0.6626098715348209,0.6348949919224556,0.5805921052631579,0.635
4,X_GTT_layer_4_bert-uncased_epoch18_muc1700,0.505,0.44,0.8648004764740918,0.8553511705685619,0.684922244759973,0.6252019386106623,0.5921052631578947,0.665
5,X_GTT_layer_5_bert-uncased_epoch18_muc1700,0.53,0.495,0.8689696247766527,0.8612040133779264,0.7038539553752535,0.6203554119547657,0.600328947368421,0.67
6,X_GTT_layer_6_bert-uncased_epoch18_muc1700,0.48,0.435,0.8648004764740918,0.8687290969899666,0.6078431372549019,0.6074313408723748,0.615953947368421,0.66
7,X_GTT_layer_7_bert-uncased_epoch18_muc1700,0.525,0.475,0.8880285884455033,0.8787625418060201,0.6294793779580797,0.6122778675282714,0.5789473684210527,0.675
8,X_GTT_layer_8_bert-uncased_epoch18_muc1700,0.52,0.5,0.8832638475282907,0.8795986622073578,0.6511156186612576,0.6332794830371568,0.5879934210526315,0.68
9,X_GTT_layer_9_bert-uncased_epoch18_muc1700,0.555,0.45,0.8802858844550328,0.8795986622073578,0.6524678837052063,0.6672051696284329,0.5970394736842105,0.67
10,X_GTT_layer_10_bert-uncased_epoch18_muc1700,0.545,0.395,0.8749255509231686,0.8637123745819398,0.6490872210953347,0.6348949919224556,0.5879934210526315,0.68
11,X_GTT_layer_11_bert-uncased_epoch18_muc1700,0.555,0.425,0.8749255509231686,0.8704013377926422,0.658553076402975,0.630048465266559,0.6036184210526315,0.675
12,X_GTT_layer_12_bert-uncased_epoch18_muc1700,0.525,0.52,0.8779035139964264,0.8704013377926422,0.6977687626774848,0.6413570274636511,0.6019736842105263,0.67
13,X_raw_layer_0_bert-uncased,0.675,0.38,0.8342245989304813,0.7949579831932773,0.632817753866846,0.5482866043613707,0.5843422114608555,0.625
14,X_raw_layer_1_bert-uncased,0.645,0.42,0.8502673796791443,0.819327731092437,0.667787491593813,0.6152647975077882,0.5875706214689266,0.58
15,X_raw_layer_2_bert-uncased,0.635,0.475,0.8651218062982768,0.8504201680672269,0.7182246133154001,0.6090342679127726,0.5617433414043583,0.57
16,X_raw_layer_3_bert-uncased,0.725,0.47,0.8781937017231135,0.8613445378151261,0.6772024209818427,0.6806853582554517,0.5786924939467313,0.685
17,X_raw_layer_4_bert-uncased,0.715,0.42,0.8817587641117053,0.8647058823529412,0.7410894418291862,0.632398753894081,0.606133979015335,0.645
18,X_raw_layer_5_bert-uncased,0.65,0.39,0.8799762329174093,0.8747899159663866,0.7511768661735037,0.6401869158878505,0.5867635189669088,0.65
19,X_raw_layer_6_bert-uncased,0.69,0.52,0.8758169934640523,0.8722689075630252,0.7747141896435776,0.6588785046728972,0.5940274414850686,0.65
20,X_raw_layer_7_bert-uncased,0.675,0.435,0.8799762329174093,0.8831932773109243,0.7135171486213854,0.6448598130841121,0.6037126715092817,0.635
21,X_raw_layer_8_bert-uncased,0.695,0.44,0.8775995246583482,0.8672268907563025,0.7377269670477471,0.6728971962616822,0.5552865213882163,0.57
22,X_raw_layer_9_bert-uncased,0.695,0.48,0.8793820558526441,0.8621848739495799,0.6395427034297243,0.6947040498442367,0.5649717514124294,0.595
23,X_raw_layer_10_bert-uncased,0.655,0.44,0.8799762329174093,0.8697478991596639,0.7370544720914594,0.6947040498442367,0.5875706214689266,0.555
24,X_raw_layer_11_bert-uncased,0.715,0.46,0.8823529411764706,0.8705882352941177,0.7175521183591123,0.6947040498442367,0.576271186440678,0.605
25,X_raw_layer_12_bert-uncased,0.655,0.45,0.8775995246583482,0.8605042016806723,0.7572293207800942,0.7398753894080997,0.6037126715092817,0.635
