,New_Index,Y_bucket_num_words_muc1700,Y_bucket_num_sent_muc1700,XY_bool_isArg,XY_5way_rolelabeling,XY_bool_coref,XY_6way_typing,XY_bool_CoEnv,Y_bucket_num_events_muc1700
0,X_GTT_Sent_layer_12_bert-uncased_epoch5_muc1700,0.55,0.625,0.8945801072066706,0.8929765886287625,0.6288032454361054,0.7092084006462036,0.584703947368421,0.725
1,X_GTT_Sent_layer_12_bert-uncased_epoch10_muc1700,0.515,0.585,0.901131625967838,0.8837792642140468,0.718052738336714,0.6478190630048465,0.5427631578947368,0.695
2,X_GTT_Sent_layer_12_bert-uncased_epoch15_muc1700,0.585,0.515,0.8951756998213222,0.8745819397993311,0.7045300878972278,0.6365105008077544,0.6036184210526315,0.695
3,X_GTT_Sent_layer_12_bert-uncased_epoch20_muc1700,0.54,0.585,0.8856462179868969,0.8787625418060201,0.6139283299526708,0.6978998384491115,0.555921052631579,0.67
4,X_GTT_layer_12_bert-uncased_epoch5_muc1700,0.52,0.46,0.8939845145920191,0.8854515050167224,0.7376605814739688,0.6865912762520194,0.5731907894736842,0.68
5,X_GTT_layer_12_bert-uncased_epoch10_muc1700,0.61,0.44,0.8993448481238833,0.8837792642140468,0.6592292089249493,0.6203554119547657,0.5789473684210527,0.655
6,X_GTT_layer_12_bert-uncased_epoch15_muc1700,0.54,0.545,0.8802858844550328,0.8837792642140468,0.6605814739688979,0.691437802907916,0.6233552631578947,0.67
7,X_GTT_layer_12_bert-uncased_epoch20_muc1700,0.565,0.5,0.8850506253722454,0.8804347826086957,0.6673427991886409,0.6332794830371568,0.6085526315789473,0.685
8,X_TANL_Sent_layer_12_t5-base_epoch5_muc1700,0.365,0.39,0.8994614003590664,0.8777403035413154,0.6318273769386379,0.5819935691318328,0.5476190476190477,0.66
9,X_TANL_Sent_layer_12_t5-base_epoch10_muc1700,0.33,0.31,0.8946738479952124,0.8735244519392917,0.650708024275118,0.5884244372990354,0.5451559934318555,0.66
10,X_TANL_Sent_layer_12_t5-base_epoch15_muc1700,0.36,0.41,0.881508078994614,0.8709949409780776,0.6871207012811867,0.590032154340836,0.5114942528735632,0.65
11,X_TANL_Sent_layer_12_t5-base_epoch20_muc1700,0.37,0.405,0.8868940754039497,0.8819561551433389,0.6534052596089008,0.6237942122186495,0.5361247947454844,0.66
12,X_TANL_layer_12_t5-base_epoch5_muc1700,0.5,0.425,0.895870736086176,0.8836424957841484,0.6850977747808497,0.5868167202572347,0.6050903119868637,0.665
13,X_TANL_layer_12_t5-base_epoch10_muc1700,0.58,0.44,0.8928785158587672,0.8718381112984823,0.6756574511126096,0.5321543408360129,0.5812807881773399,0.645
14,X_TANL_layer_12_t5-base_epoch15_muc1700,0.52,0.44,0.8779174147217235,0.857504215851602,0.6763317599460553,0.590032154340836,0.5591133004926109,0.605
15,X_TANL_layer_12_t5-base_epoch20_muc1700,0.525,0.4,0.8803111909036505,0.8785834738617201,0.6392447741065408,0.6205787781350482,0.5689655172413793,0.62
16,X_dygie_full_epoch5,0.66,0.59,0.8925373134328358,0.8630252100840337,0.6617350369872226,0.7024922118380063,0.5899919289749799,0.665
17,X_dygie_full_epoch10,0.575,0.525,0.8859701492537313,0.8521008403361344,0.6832548755884331,0.7242990654205608,0.5754640839386602,0.67
18,X_dygie_full_epoch15,0.605,0.51,0.8704477611940299,0.8596638655462185,0.6119704102219233,0.632398753894081,0.5512510088781275,0.68
19,X_dygie_full_epoch20,0.615,0.51,0.866268656716418,0.8554621848739495,0.6408876933422999,0.7102803738317757,0.6020984665052461,0.645
20,X_dygie_sent_epoch5,0.625,0.6,0.8859701492537313,0.873109243697479,0.7357094821788837,0.6308411214953271,0.5125100887812752,0.7
21,X_dygie_sent_epoch10,0.535,0.54,0.8859701492537313,0.8680672268907563,0.7377269670477471,0.6713395638629284,0.5286521388216303,0.73
22,X_dygie_sent_epoch15,0.595,0.605,0.8811940298507462,0.8630252100840337,0.6926698049764627,0.6557632398753894,0.5722356739305892,0.67
23,X_dygie_sent_epoch20,0.565,0.615,0.8734328358208955,0.8588235294117647,0.710827168796234,0.721183800623053,0.5391444713478611,0.69
24,X_raw_layer_12_bert-uncased,0.655,0.45,0.8775995246583482,0.8605042016806723,0.7572293207800942,0.7398753894080997,0.6037126715092817,0.635
